id;name;artists;popularity;year;release_date
3Lpg4XUPBhscufuiSCNd30;Prisión De Amor;['Los Tigres Del Norte'];62;1999;01/01/1999
3hMHG6lx9QHVcfYSUr5PoM;"Danger Zone - From ""Top Gun"" Original Soundtrack";['Kenny Loggins'];60;1999;01/01/1999
70Hl6QYIJGmrR7NBl666Y6;Into Each Life Some Rain Must Fall - Single Version;['The Ink Spots', 'Ella Fitzgerald'];58;1999;02/11/1999
5RJuWtHaZqnHRCVzk1z1uS;Inventame;['Marco Antonio Solís'];63;1999;1999
7Gpr3kKk4BMgItz6UbI73q;Road Trippin';['Red Hot Chili Peppers'];65;1999;08/06/1999
3jXptpf8Z3aU9O1Bj6YCl0;Saturday Night;['Misfits'];58;1999;04/10/1999
5IafdoRLyaGPeeA6f8ysIe;I'm So Tired;['Fugazi'];57;1999;1999
2QOMGq8wVTZbLmh7McrvgF;Scar Tissue;['Red Hot Chili Peppers'];59;1999;08/06/1999
5SEBSAio1N77Vbrj1cAEGb;N 2 Gether Now;['Limp Bizkit', 'Method Man'];62;1999;1999
3w8Mw9GHYepoTWOSdiyosj;Incomplete;['Sisqo'];60;1999;01/01/1999
5mqGns8pOrveF3VQessfVO;Para Qué Quieres Volver;['Los Caminantes'];57;1999;1999
4Y8vb1uy9IjM2V1hqvrAid;You'll Be In My Heart;['Phil Collins'];67;1999;18/05/1999
6s4kWgzQwsueo3mfllY1s6;Dead Wrong (feat. Eminem) - 2005 Remaster;['The Notorious B.I.G.', 'Eminem'];57;1999;1999
4UZlEcQmkAeh4mYokk8TNs;Let's Ride;['Q-Tip'];58;1999;23/11/1999
2bbeNsFmjZqdoDhjLsKNWe;Bailamos;['Enrique Iglesias'];53;1999;23/11/1999
7d9I42jF759n5HuUeoulzR;Nann Nigga;['Trick Daddy'];52;1999;30/03/1999
4IVyX0UJzGyUk0MLiz1jVJ;Let's Fall In Love;['Diana Krall'];63;1999;01/01/1999
5bymCzswBkt0deeD1hlTIq;La Dosis Perfecta;['Panteon Rococo'];71;1999;06/11/1999
3AJwUDP919kvQ9QcozQPxg;Yellow;['Coldplay'];84;2000;10/07/2000
60a0Rd6pjrkxjPbaKzXjfq;In the End;['Linkin Park'];84;2000;24/10/2000
3yfqSUWxFvZELEM4PmlwIR;The Real Slim Shady;['Eminem'];80;2000;23/05/2000
40rvBMQizxkIqnjPdEWY1v;Down with the Sickness;['Disturbed'];76;2000;07/03/2000
3Gf5nttwcX9aaSQXRWidEZ;Ride Wit Me;['Nelly', 'City Spud'];74;2000;27/06/2000
3UmaczJpikHgJFyBTAJVoz;Stan;['Eminem', 'Dido'];78;2000;23/05/2000
62bOmKYxYg7dhrC6gH9vFn;Bye Bye Bye;['*NSYNC'];71;2000;21/03/2000
3oW6SWwGqiZSPTiAp7ZQoH;It's A Great Day To Be Alive;['Travis Tritt'];70;2000;01/10/2000
6naxalmIoLFWR0siv8dnQQ;Oops!...I Did It Again;['Britney Spears'];78;2000;16/05/2000
3K4HG9evC7dg3N0R9cYqk4;One Step Closer;['Linkin Park'];76;2000;24/10/2000
3WkibOpDF7cQ5xntM1epyf;It Wasn't Me;['Shaggy', 'Rik Rok'];76;2000;08/08/2000
3wMUvT6eIw2L5cZFG1yH9j;Country Grammar (Hot Shit);['Nelly'];70;2000;27/06/2000
2DpJ9T2RVRanZcYFHKOAfA;Put Your Head On My Shoulder;['Paul Anka'];74;2000;03/10/2000
0aym2LBJBk9DAYuHHutrIl;Hey Jude - Remastered 2015;['The Beatles'];76;2000;13/11/2000
4KoecuyOpZaNFZ0UqVsllc;Follow Me;['Uncle Kracker'];72;2000;13/06/2000
4uOKFydzAejjSFqYbv1XPt;Red Red Wine;['UB40'];74;2000;2000
4pbG9SUmWIvsROVLF0zF9s;I Want To Hold Your Hand - Remastered 2015;['The Beatles'];73;2000;13/11/2000
0wqOReZDnrefefEsrIGeR4;Hanging By A Moment;['Lifehouse'];65;2000;2000
57BrRMwf9LrcmuOsyGilwr;Crawling;['Linkin Park'];73;2000;24/10/2000
6glsMWIMIxQ4BedzLqGVi4;So Fresh, So Clean;['OutKast'];68;2000;31/10/2000
0v1XpBHnsbkCn7iJ9Ucr1l;It's My Life;['Bon Jovi'];79;2000;01/01/2000
300zfRaCgTmEm5Eqe3HqZZ;Ghostbusters;['Ray Parker Jr.'];69;2000;08/02/2000
2g2GkH3vZHk4lWzBjgQ6nY;(What A) Wonderful World;['Sam Cooke'];72;2000;26/09/2000
3IV4swNduIRunHREK80owz;Rollin' (Air Raid Vehicle);['Limp Bizkit'];74;2000;17/10/2000
65B1tEOv5W294uCKbmEcFV;I Hope You Dance;['Lee Ann Womack'];66;2000;01/01/2000
3mNecsYFb6LQg7822DPXCP;Absolutely (Story of a Girl) - Radio Mix;['Nine Days'];67;2000;16/05/2000
7FDV5ELOJHCGLe52AnttEd;Angel;['Shaggy', 'Rayvon'];72;2000;08/08/2000
23wfXwnsPZYe5A1xXRHb3J;The Way I Am;['Eminem'];71;2000;23/05/2000
51c94ac31swyDQj9B3Lzs3;Change (In the House of Flies);['Deftones'];68;2000;16/05/2000
1Vej0qeQ3ioKwpI6FUbRv1;Papercut;['Linkin Park'];72;2000;24/10/2000
2AW37v0bDyuOzGP3XnmFuA;It's Gonna Be Me;['*NSYNC'];66;2000;21/03/2000
0YWUHZPJVg4iujddsJDwhM;My Only Wish (This Year);['Britney Spears'];72;2000;14/11/2000
1VuBmEauSZywQVtqbxNqka;Beautiful Day;['U2'];64;2000;01/01/2000
3Fzlg5r1IjhLk2qRw667od;Dancing in the Moonlight;['Toploader'];76;2000;2000
5gUoppDphfYsIiguGr5drh;Todo Me Gusta De Ti;['Aaron Y Su Grupo Ilusion'];68;2000;01/01/2000
6xXlurslWqFuyqTCBlErzX;Awake;['Godsmack'];66;2000;31/10/2000
1sjrDQXqAa9V07FjKIlAQ4;Hemorrhage (In My Hands);['Fuel'];63;2000;19/09/2000
